"","alpha","efe_1","T","y_2","final_reg_quant","gamma_0","gamma_1","predicted"
"487",6.14195201745323,69.9476176392399,"t4986",-2.05976615982398,-3.17285441351547,-3.43397357067648,0.00451944636373261,-3.11784906448506
"488",3.13417302464453,-2.68056727419859,"t4987",3.95183580988432,-3.42381938262134,-3.4378575512934,0.00461182906417429,-3.45021986935702
"489",-5.42000313200584,56.7932885692001,"t4988",-2.04214790916905,-3.21830888539309,-3.43841610516122,0.00469682720596162,-3.17166784229337
"490",-4.82724855816638,-40.2899415658738,"t4989",-0.93586623639181,-3.55377768281087,-3.43844770177998,0.0047656817379927,-3.63045674052526
"491",-7.69562163355832,110.575165238248,"t4990",-2.22998450928575,-3.03246688710014,-3.4414115446028,0.00462817234826252,-2.92965062244258
"492",-3.0814058599516,-64.3745067684361,"t4991",-2.54391615687744,-3.63700132621038,-3.43726862355763,0.00450073499592049,-3.72700121901545
"493",0.223035805686944,-44.0857675873782,"t4992",-1.69002292143901,-3.56689406953255,-3.43847572118136,0.00460105527800332,-3.64131677482409
"494",3.70152369367903,200.069404210381,"t4993",-1.66935190115565,-2.7232216685178,-3.43310889998946,0.0046379286382417,-2.50520128056618
"495",-0.775678400634446,174.164364162515,"t4994",0.661000049371846,-2.81273591953547,-3.4341245815387,0.0046410620727319,-2.62581695660259
"496",3.37745765719755,-17.3021412522763,"t4995",-0.0863357714390944,-3.47434388445298,-3.43359255807927,0.00463095883851272,-3.5137180620367
"497",-1.86507905734869,-98.210584528339,"t4996",-3.40504939104237,-3.75392108979526,-3.43425531548606,0.00461816648502874,-3.88780814542992
"498",-5.56514252692184,-235.910595191058,"t4997",-9.12106828309486,-4.22974020826883,-3.43316218186905,0.00486640170017224,-4.58119790339546
"499",-4.01822657656376,-25.0886122553674,"t4998",-2.25270162514267,-3.50124985018878,-3.43442314935268,0.00481503987252677,-3.55522581770864
"500",-3.72976882221979,36.7588326129706,"t4999",-2.89030864121552,-3.28753747242306,-3.44219770826069,0.00472499745271019,-3.26851231779981
"501",-12.5313504796577,88.5798752964633,"t4900",-1.94733053939957,-3.10847108942592,-3.4421734164456,0.0046746889762809,-3.02809004987689
